node_id,date,street_count,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,dewpoint_mean,dewpoint_max,dewpoint_min,humidity_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,shortwave_radiation_sum,cloud_cover_mean,wet_flag,severity,delta_local,eligible,pavement_temp,icy_base,prev_icy_base,strong_thaw,icy_persist,icy_label,partial_thaw,thaw_fraction,black_ice_risk
0,2026-01-21 04:00:00+00:00,3,"[1, 2, 49]",36.1533943,-86.8225298,10.337999,-3.4620001,3.296334,-4.883574,5.694942,-13.628867,58.541668,2.7,2.7,0.0,21.542923,3.81,58.791668,1,2,0.3,0,-5.7620001,0,0,0,0,0,1,0.5,0
0,2026-01-22 04:00:00+00:00,3,"[1, 2, 49]",36.1533943,-86.8225298,7.4880004,-0.112,4.3088336,-1.7869257,5.784643,-10.023974,69.166664,0.0,0.0,0.0,10.823973,13.07,53.75,0,1,0.3,0,-2.412,0,0,1,0,0,0,0.0,0
0,2026-01-23 04:00:00+00:00,3,"[1, 2, 49]",36.1533943,-86.8225298,3.838,-6.7619996,-0.31408334,-10.436231,-7.333082,-16.982523,46.916668,0.0,0.0,0.0,18.448023,13.75,45.541668,0,1,0.3,0,-9.0619996,0,0,0,0,0,1,0.5,0
0,2026-01-24 04:00:00+00:00,3,"[1, 2, 49]",36.1533943,-86.8225298,-5.962,-8.912001,-7.63075,-12.868672,-7.0510454,-19.114552,69.541664,13.299999,4.9999995,5.8100004,17.377226,2.75,75.791664,1,2,0.3,0,-11.212001,0,0,0,0,0,0,1.0,0
0,2026-01-25 04:00:00+00:00,3,"[1, 2, 49]",36.1533943,-86.8225298,-0.312,-10.362,-4.370333,-5.4476476,-0.312,-14.106347,92.25,50.0,38.499996,8.05,26.434887,2.37,95.125,1,4,0.3,1,-12.662,1,0,0,0,1,0,1.0,0
0,2026-01-26 04:00:00+00:00,3,"[1, 2, 49]",36.1533943,-86.8225298,-8.312,-12.962,-10.65575,-14.569079,-12.305103,-18.721617,73.208336,0.0,0.0,0.0,15.315873,14.19,47.083332,0,1,0.3,0,-15.262,0,1,0,1,1,0,1.0,0
0,2026-01-27 04:00:00+00:00,3,"[1, 2, 49]",36.1533943,-86.8225298,-0.862,-15.312,-7.4932494,-11.284089,-3.6069686,-21.332905,74.416664,0.0,0.0,0.0,15.725037,12.47,48.375,0,2,0.3,0,-17.612,0,0,0,0,0,0,1.0,0
0,2026-01-28 04:00:00+00:00,3,"[1, 2, 49]",36.1533943,-86.8225298,-0.76199996,-8.712,-4.6994987,-7.935655,-5.293388,-10.428632,78.833336,0.0,0.0,0.0,7.9932966,12.57,63.25,1,4,0.3,1,-11.012,1,0,0,0,1,0,1.0,0
0,2026-01-29 04:00:00+00:00,3,"[1, 2, 49]",36.1533943,-86.8225298,1.688,-6.362,-2.7578332,-5.2252197,-2.5654836,-8.273753,83.708336,0.0,0.0,0.0,8.39657,12.1,80.625,1,4,0.3,1,-8.662,1,1,0,1,1,1,0.5,1
1,2026-01-21 04:00:00+00:00,3,"[0, 51]",36.15535779999999,-86.8295428,10.5005,-3.2995,3.4588335,-4.73167,5.8564754,-13.484132,58.541668,2.7,2.7,0.0,21.542923,3.81,58.791668,1,2,0.3,0,-5.5995,0,0,0,0,0,1,0.5,0
